00DSEGEN, 2011-12-14, 5063.11586,5181.93923,4952.05411,4968.78309,82992031
00DSETO, 2011-12-14, 5063.11586,5181.93923,4952.05411,4968.78309,4213.742974
01_BANK_ALL, 2011-12-14, 24.37,24.82,23.41,23.53,123691875
02_IT, 2011-12-14, 52.38,52.72,49.17,49.53,2641884
03_FINANCE, 2011-12-14, 316.42,321.41,297.55,300.33,2037381
04_INS_GEN, 2011-12-14, 246.75,252.61,228.99,232.71,2072099
05_MNC, 2011-12-14, 311.96,319.62,306.03,313.13,1788850
06_CEMENT, 2011-12-14, 63.54,64.27,59.89,60.39,11465873
07_POWER, 2011-12-14, 138.86,141.43,134.69,136.14,11562631
08_M_FUND, 2011-12-14, 27.57,27.72,26.34,26.61,8880815
09_BEXIMCO, 2011-12-14, 51.44,52.85,50.31,50.65,8348379
10_INS_LIFE, 2011-12-14, 130.35,131.50,125.06,126.79,841888
11_TEXTILE, 2011-12-14, 243.79,250.58,230.60,232.62,1953641
12_ENGINEERING, 2011-12-14, 386.66,393.53,369.12,373.03,1625566
13_FOOD, 2011-12-14, 24.13,24.49,22.89,23.24,4256275
14_PHARMA, 2011-12-14, 881.24,904.37,850.57,859.73,295541
15_CHEMICALS, 2011-12-14, 39.63,40.12,37.31,37.79,4805893
16_SERVICES, 2011-12-14, 34.09,34.99,32.71,32.95,8936350
17_TANNERY, 2011-12-14, 254.33,258.93,237.90,242.00,101650
18_CEREMICS, 2011-12-14, 220.03,224.55,211.22,212.33,2317754
19_CORPBOND, 2011-12-14, 608.50,613.08,608.42,611.33,41503
1JANATAMF, 2011-12-14, 7.10,7.50,7.10,7.30,884000
1STBSRS, 2011-12-14, 94.00,94.50,86.10,90.50,12000
1STICB, 2011-12-14, 975.00,975.00,975.00,975.00,50
1STPRIMFMF, 2011-12-14, 18.90,19.00,17.90,17.90,165500
20_MISC, 2011-12-14, 55.68,57.13,53.09,54.30,2137450
2NDICB, 2011-12-14, 310.00,310.00,310.00,310.00,100
4THICB, 2011-12-14, 213.70,213.70,213.70,213.70,700
6THICB, 2011-12-14, 47.00,48.00,45.70,46.00,7400
8THICB, 2011-12-14, 52.60,52.60,52.10,52.30,3500
ABBANK, 2011-12-14, 70.50,72.70,67.00,67.50,455750
ACI, 2011-12-14, 208.90,213.70,203.30,206.30,8914
ACIFORMULA, 2011-12-14, 87.40,88.80,83.30,84.20,29900
ACIZCBOND, 2011-12-14, 825.00,831.50,825.00,830.00,128
ACTIVEFINE, 2011-12-14, 59.60,61.00,56.70,57.00,428000
AFTABAUTO, 2011-12-14, 138.60,144.90,134.00,135.30,418894
AGNISYSL, 2011-12-14, 39.00,39.00,35.10,35.50,676000
AGRANINS, 2011-12-14, 37.60,40.90,37.10,37.80,50680
AIBL1STIMF, 2011-12-14, 8.10,8.50,7.60,7.90,5000
AIMS1STMF, 2011-12-14, 42.40,42.40,40.00,40.20,281250
AL-HAJTEX, 2011-12-14, 46.00,47.60,44.70,45.20,27650
ALARABANK, 2011-12-14, 36.30,37.30,35.30,35.40,2745896
ALLTEX, 2011-12-14, 15.70,15.70,14.20,14.30,165000
AMBEEPHA, 2011-12-14, 326.00,335.90,313.40,316.10,4800
AMCL(PRAN), 2011-12-14, 129.50,129.50,125.50,125.50,10305
ANLIMAYARN, 2011-12-14, 28.40,29.40,27.10,27.50,278500
ANWARGALV, 2011-12-14, 23.40,23.40,22.20,23.00,19000
APEXADELFT, 2011-12-14, 298.70,303.00,285.50,289.80,42400
APEXFOODS, 2011-12-14, 74.00,74.00,69.00,69.60,20050
APEXSPINN, 2011-12-14, 81.10,81.10,80.30,80.70,400
APEXTANRY, 2011-12-14, 121.30,123.80,112.20,114.20,48200
ARAMIT, 2011-12-14, 248.00,255.00,241.10,250.40,3400
ARAMITCEM, 2011-12-14, 95.60,95.80,89.20,93.30,11450
ASIAINS, 2011-12-14, 56.90,57.00,52.60,52.90,180300
ASIAPACINS, 2011-12-14, 39.00,41.00,37.10,37.30,261000
ATLASBANG, 2011-12-14, 241.80,242.90,233.50,234.60,9250
AZIZPIPES, 2011-12-14, 28.50,28.50,26.60,26.60,8350
BANGAS, 2011-12-14, 139.00,139.00,121.30,124.90,14800
BANKASIA, 2011-12-14, 38.90,39.40,37.00,37.40,315790
BATASHOE, 2011-12-14, 601.00,610.00,599.00,604.00,6500
BATBC, 2011-12-14, 610.00,615.00,605.00,608.90,33100
BAYLEASING, 2011-12-14, 66.00,67.40,62.00,63.00,243520
BDAUTOCA, 2011-12-14, 43.80,45.20,41.90,42.30,77050
BDCOM, 2011-12-14, 30.00,30.00,26.70,27.00,372000
BDFINANCE, 2011-12-14, 62.80,65.00,58.10,59.40,132456
BDLAMPS, 2011-12-14, 145.30,158.90,139.90,144.10,5650
BDTHAI, 2011-12-14, 56.10,58.00,52.20,53.00,583050
BDWELDING, 2011-12-14, 45.50,46.20,42.30,42.60,333000
BEACHHATCH, 2011-12-14, 37.20,38.20,35.20,35.40,228625
BEACONPHAR, 2011-12-14, 27.00,27.50,25.80,25.90,407500
BEDL, 2011-12-14, 42.90,43.40,40.10,40.50,210320
