00DSEGEN, 2011-12-18, 5000.17834,5028.43719,4979.10099,4996.34387,45505873
00DSETO, 2011-12-18, 5000.17834,5028.43719,4979.10099,4996.34387,2103.330464
1JANATAMF, 2011-12-18, 7.50,8.20,7.40,8.00,1604000
1STBSRS, 2011-12-18, 90.00,90.00,88.10,89.30,1500
1STPRIMFMF, 2011-12-18, 18.00,18.60,17.80,18.30,41000
6THICB, 2011-12-18, 46.20,46.20,46.00,46.10,1200
8THICB, 2011-12-18, 53.00,53.00,52.10,52.40,1500
ABBANK, 2011-12-18, 67.10,68.80,67.00,67.50,140490
ACI, 2011-12-18, 207.90,208.00,201.10,203.90,2010
ACIFORMULA, 2011-12-18, 83.60,84.40,83.60,84.20,4400
ACIZCBOND, 2011-12-18, 830.00,836.00,827.50,832.50,308
ACTIVEFINE, 2011-12-18, 57.00,58.50,56.90,57.20,173575
AFTABAUTO, 2011-12-18, 135.00,135.00,132.30,132.80,258085
AGNISYSL, 2011-12-18, 35.40,36.10,35.00,35.30,315550
AGRANINS, 2011-12-18, 36.10,38.40,36.10,37.60,10500
AIBL1STIMF, 2011-12-18, 8.00,8.00,7.70,7.80,3500
AIMS1STMF, 2011-12-18, 39.90,40.20,39.70,39.80,150250
AL-HAJTEX, 2011-12-18, 44.70,45.70,44.70,45.40,12150
ALARABANK, 2011-12-18, 36.40,37.50,36.10,37.20,2845547
ALLTEX, 2011-12-18, 13.90,14.50,13.90,14.10,107500
AMBEEPHA, 2011-12-18, 320.00,320.00,315.60,317.20,3400
AMCL(PRAN), 2011-12-18, 122.70,124.90,122.00,122.30,2000
ANLIMAYARN, 2011-12-18, 27.60,28.30,26.60,27.70,111000
ANWARGALV, 2011-12-18, 22.60,23.40,22.10,22.50,12500
APEXADELFT, 2011-12-18, 292.90,292.90,285.70,287.40,7600
APEXFOODS, 2011-12-18, 66.50,70.90,66.50,69.80,11250
APEXSPINN, 2011-12-18, 74.80,82.00,74.80,77.20,600
APEXTANRY, 2011-12-18, 114.80,116.80,111.20,112.20,24800
ARAMIT, 2011-12-18, 243.40,245.90,241.20,243.70,700
ARAMITCEM, 2011-12-18, 91.10,92.10,88.90,91.20,16250
ASIAINS, 2011-12-18, 53.10,53.90,52.90,53.10,68124
ASIAPACINS, 2011-12-18, 37.40,38.80,37.20,37.80,117500
ATLASBANG, 2011-12-18, 232.10,233.30,231.20,231.30,3341
AZIZPIPES, 2011-12-18, 26.90,27.00,26.90,26.90,2400
BANGAS, 2011-12-18, 132.80,139.80,132.80,137.90,25000
BANKASIA, 2011-12-18, 37.60,38.00,36.50,37.70,161030
BATASHOE, 2011-12-18, 604.50,604.50,591.20,600.30,2700
BATBC, 2011-12-18, 603.00,603.00,600.00,601.70,5455
BAYLEASING, 2011-12-18, 63.80,64.10,62.70,63.00,106370
BDAUTOCA, 2011-12-18, 44.00,49.60,44.00,49.50,101530
BDCOM, 2011-12-18, 28.20,28.50,27.00,27.40,104000
BDFINANCE, 2011-12-18, 59.80,61.60,59.20,60.00,34464
BDLAMPS, 2011-12-18, 146.90,155.00,144.30,151.60,21950
BDTHAI, 2011-12-18, 53.90,55.10,53.40,53.70,321090
BDWELDING, 2011-12-18, 42.70,43.10,42.10,42.70,94650
BEACHHATCH, 2011-12-18, 36.40,37.00,36.00,36.10,84350
BEACONPHAR, 2011-12-18, 25.70,26.20,25.30,25.40,466500
BEDL, 2011-12-18, 40.90,41.50,40.70,40.70,66640
BEXIMCO, 2011-12-18, 115.00,115.80,113.20,113.60,385618
BGIC, 2011-12-18, 47.10,48.30,47.10,47.50,45144
BIFC, 2011-12-18, 42.20,42.20,41.00,41.40,26000
BRACBANK, 2011-12-18, 44.70,44.70,43.40,44.10,177640
BSC, 2011-12-18, 590.00,594.00,567.00,569.25,52710
BSRMSTEEL, 2011-12-18, 98.00,99.00,97.00,97.30,46420
BXPHARMA, 2011-12-18, 94.70,95.90,93.70,93.90,318076
BXSYNTH, 2011-12-18, 37.20,38.40,36.90,37.70,160560
CENTRALINS, 2011-12-18, 57.50,57.50,55.20,56.50,800
CITYBANK, 2011-12-18, 53.00,53.70,52.60,53.00,715520
CITYGENINS, 2011-12-18, 37.50,38.10,37.10,37.70,84480
CMCKAMAL, 2011-12-18, 38.20,38.40,36.70,37.20,344653
CONFIDCEM, 2011-12-18, 112.00,114.00,111.50,111.90,41853
CONTININS, 2011-12-18, 38.20,39.00,37.60,38.60,71570
CVOPRL, 2011-12-18, 296.50,310.00,290.00,306.90,54100
DACCADYE, 2011-12-18, 39.40,40.20,39.20,39.30,38000
DAFODILCOM, 2011-12-18, 20.70,21.50,20.70,20.90,68000
DBH, 2011-12-18, 81.20,82.60,80.20,80.40,34000
DBH1STMF, 2011-12-18, 8.10,8.20,8.10,8.10,370500
