00DSEGEN, 2011-11-27, 5373.30441,5377.39095,5056.3504,5065.17630,69629073
00DSETO, 2011-11-27, 5373.30441,5377.39095,5056.3504,5065.17630,4514.332255
01_BANK_ALL, 2011-11-27, 49.62,49.93,46.25,46.59,31683082
02_IT, 2011-11-27, 54.82,55.07,49.85,50.17,3148169
03_FINANCE, 2011-11-27, 772.77,784.35,716.99,718.70,390330
04_INS_GEN, 2011-11-27, 593.09,605.57,556.93,560.12,377721
05_MNC, 2011-11-27, 524.56,524.59,514.03,518.11,166230
06_CEMENT, 2011-11-27, 125.42,127.17,116.05,117.20,3312049
07_POWER, 2011-11-27, 157.92,159.66,150.71,152.13,3983195
08_M_FUND, 2011-11-27, 33.53,33.61,32.28,32.44,7637610
09_BEXIMCO, 2011-11-27, 64.02,64.02,56.60,56.81,4132276
10_INS_LIFE, 2011-11-27, 466.67,467.74,458.34,460.42,349100
11_TEXTILE, 2011-11-27, 702.11,709.67,672.66,674.32,761107
12_ENGINEERING, 2011-11-27, 807.80,813.31,746.09,759.05,399188
13_FOOD, 2011-11-27, 109.61,110.57,104.99,105.68,2819535
14_PHARMA, 2011-11-27, 1659.96,1679.86,1565.21,1568.18,144779
15_CHEMICALS, 2011-11-27, 44.16,44.80,41.08,41.31,1376025
16_SERVICES, 2011-11-27, 50.52,50.70,45.91,46.01,502966
17_TANNERY, 2011-11-27, 1536.58,1563.67,1448.75,1452.50,27125
18_CEREMICS, 2011-11-27, 542.50,546.44,494.38,498.81,403140
19_CORPBOND, 2011-11-27, 933.17,948.83,933.17,946.67,10123
1JANATAMF, 2011-11-27, 7.60,7.70,7.30,7.30,177000
1STBSRS, 2011-11-27, 1015.00,1020.00,960.00,984.25,1500
1STPRIMFMF, 2011-11-27, 18.40,19.00,17.70,18.00,249500
20_MISC, 2011-11-27, 91.73,92.77,86.83,88.26,708900
3RDICB, 2011-11-27, 2550.00,2550.00,2550.00,2550.00,135
5THICB, 2011-11-27, 1551.25,1552.50,1551.25,1552.00,140
6THICB, 2011-11-27, 531.00,531.00,498.00,501.00,1240
8THICB, 2011-11-27, 561.25,561.25,561.25,561.25,50
ABBANK, 2011-11-27, 734.00,737.00,680.25,688.25,78606
ACI, 2011-11-27, 218.00,224.50,204.50,205.20,21300
ACIFORMULA, 2011-11-27, 87.70,89.70,83.20,84.60,19900
ACIZCBOND, 2011-11-27, 800.50,832.00,800.50,829.00,2968
ACTIVEFINE, 2011-11-27, 63.50,64.40,58.10,58.10,448685
AFTABAUTO, 2011-11-27, 197.00,197.00,176.10,176.10,454769
AGNISYSL, 2011-11-27, 41.50,41.50,36.00,36.00,596600
AGRANINS, 2011-11-27, 429.00,429.00,374.50,377.00,6961
AIBL1STIMF, 2011-11-27, 7.80,7.80,7.50,7.50,33000
AIMS1STMF, 2011-11-27, 5.70,5.70,5.10,5.16,4790000
AL-HAJTEX, 2011-11-27, 57.40,58.80,53.90,54.60,82000
ALARABANK, 2011-11-27, 34.10,34.80,32.00,32.20,1441391
