00DSEGEN, 2011-11-30, 5154.6811,5278.09612,5129.16648,5268.55442,40769862
00DSETO, 2011-11-30, 5154.6811,5278.09612,5129.16648,5268.55442,3193.453452
01_BANK_ALL, 2011-11-30, 47.56,48.84,47.15,48.48,20860154
02_IT, 2011-11-30, 50.92,52.82,50.35,52.32,1103180
03_FINANCE, 2011-11-30, 720.89,750.85,714.79,743.74,255307
04_INS_GEN, 2011-11-30, 580.16,603.85,572.01,597.34,288742
05_MNC, 2011-11-30, 525.56,530.68,523.94,527.96,236774
06_CEMENT, 2011-11-30, 119.34,124.83,118.19,122.50,4001079
07_POWER, 2011-11-30, 154.04,161.13,152.38,159.78,2461730
08_M_FUND, 2011-11-30, 24.10,24.58,23.75,24.26,5022775
09_BEXIMCO, 2011-11-30, 58.96,61.35,57.72,60.94,2632049
10_INS_LIFE, 2011-11-30, 182.09,184.88,177.31,182.77,129555
11_TEXTILE, 2011-11-30, 690.26,711.93,686.07,707.96,557782
12_ENGINEERING, 2011-11-30, 863.89,896.44,854.26,887.17,301971
13_FOOD, 2011-11-30, 106.66,109.51,104.94,108.39,1489500
14_PHARMA, 2011-11-30, 1568.57,1623.57,1542.29,1612.39,54126
15_CHEMICALS, 2011-11-30, 67.04,70.84,66.90,69.91,726501
16_SERVICES, 2011-11-30, 68.75,71.36,67.03,70.21,809685
17_TANNERY, 2011-11-30, 1509.33,1556.25,1504.33,1546.92,20430
18_CEREMICS, 2011-11-30, 514.12,540.44,506.06,533.00,443247
19_CORPBOND, 2011-11-30, 942.83,949.67,940.83,946.25,6184
1JANATAMF, 2011-11-30, 7.20,7.40,7.20,7.30,118500
1STBSRS, 2011-11-30, 1000.00,1019.00,995.00,1010.75,350
1STPRIMFMF, 2011-11-30, 18.70,19.00,18.40,18.60,123500
20_MISC, 2011-11-30, 80.05,84.67,78.05,82.93,1748400
5THICB, 2011-11-30, 1552.00,1552.00,1552.00,1552.00,20
6THICB, 2011-11-30, 509.50,510.00,500.00,506.00,170
ABBANK, 2011-11-30, 680.00,705.00,680.00,702.75,33495
ACI, 2011-11-30, 214.00,218.70,208.00,216.30,8682
ACIFORMULA, 2011-11-30, 85.10,89.60,84.30,89.30,18400
ACIZCBOND, 2011-11-30, 817.00,830.00,817.00,826.00,1824
ACTIVEFINE, 2011-11-30, 58.30,62.30,58.30,61.90,200950
AFTABAUTO, 2011-11-30, 181.00,195.20,176.00,195.20,506740
AGNISYSL, 2011-11-30, 36.00,37.90,35.80,37.60,234750
AGRANINS, 2011-11-30, 377.00,407.00,377.00,400.25,6650
AIBL1STIMF, 2011-11-30, 7.90,8.00,7.90,7.90,4500
AIMS1STMF, 2011-11-30, 5.02,5.02,4.95,4.97,3940750
AL-HAJTEX, 2011-11-30, 44.00,46.90,44.00,46.20,33950
