00DSEGEN, 2011-12-13, 4849.94916,5078.5402,4849.82702,5063.11586,67541132
00DSETO, 2011-12-13, 4849.94916,5078.5402,4849.82702,5063.11586,3270.989983
01_BANK_ALL, 2011-12-13, 22.95,24.27,22.83,24.02,111505864
02_IT, 2011-12-13, 49.18,51.28,48.92,50.95,2264836
03_FINANCE, 2011-12-13, 296.69,311.98,295.50,309.64,1800320
04_INS_GEN, 2011-12-13, 228.44,244.34,226.86,240.70,2019918
05_MNC, 2011-12-13, 285.88,292.21,284.39,288.25,1690700
06_CEMENT, 2011-12-13, 60.09,62.73,59.88,62.13,11140679
07_POWER, 2011-12-13, 134.10,138.41,133.25,137.05,8805407
08_M_FUND, 2011-12-13, 22.33,23.04,22.13,22.80,6930210
09_BEXIMCO, 2011-12-13, 49.72,51.11,49.50,50.76,5460675
10_INS_LIFE, 2011-12-13, 125.49,129.20,124.89,128.33,1042609
11_TEXTILE, 2011-12-13, 206.28,217.61,205.02,215.84,1533027
12_ENGINEERING, 2011-12-13, 366.81,382.96,364.49,378.24,1317947
13_FOOD, 2011-12-13, 22.89,23.93,22.78,23.65,3189175
14_PHARMA, 2011-12-13, 881.27,893.36,863.30,880.97,239635
15_CHEMICALS, 2011-12-13, 39.44,40.78,39.24,40.32,3732525
16_SERVICES, 2011-12-13, 32.33,33.89,32.33,33.53,8121875
17_TANNERY, 2011-12-13, 241.60,251.73,236.47,248.57,77415
18_CEREMICS, 2011-12-13, 211.20,218.07,210.28,216.60,2021678
19_CORPBOND, 2011-12-13, 941.00,951.00,941.00,947.25,1534
1JANATAMF, 2011-12-13, 7.00,7.20,6.90,7.10,136500
1STBSRS, 2011-12-13, 92.50,93.00,87.50,91.30,5000
1STPRIMFMF, 2011-12-13, 18.40,18.70,18.40,18.60,125500
20_MISC, 2011-12-13, 53.41,56.01,53.08,54.88,1715384
6THICB, 2011-12-13, 46.00,46.70,46.00,46.50,10900
ABBANK, 2011-12-13, 64.70,70.30,64.70,69.50,528809
ACI, 2011-12-13, 202.00,207.00,202.00,205.10,4001
ACIFORMULA, 2011-12-13, 83.00,84.20,83.00,83.90,6300
ACIZCBOND, 2011-12-13, 825.00,836.00,825.00,833.50,284
ACTIVEFINE, 2011-12-13, 55.80,59.50,55.30,58.20,565525
AFTABAUTO, 2011-12-13, 134.00,138.00,132.80,137.20,270965
AGNISYSL, 2011-12-13, 34.80,37.30,34.80,36.90,620500
AGRANINS, 2011-12-13, 35.00,39.50,35.00,39.00,60500
AIBL1STIMF, 2011-12-13, 8.00,8.00,7.50,7.80,7500
AIMS1STMF, 2011-12-13, 40.40,41.90,40.00,41.50,216000
AL-HAJTEX, 2011-12-13, 44.60,46.00,44.00,45.90,19370
ALARABANK, 2011-12-13, 32.50,35.70,32.20,35.60,3322923
ALLTEX, 2011-12-13, 14.10,15.10,14.10,14.90,134500
AMBEEPHA, 2011-12-13, 335.00,335.90,324.10,330.80,5750
AMCL(PRAN), 2011-12-13, 122.50,127.90,122.50,125.30,5310
ANLIMAYARN, 2011-12-13, 26.00,27.70,25.90,27.10,120500
ANWARGALV, 2011-12-13, 22.20,23.80,22.20,23.70,31000
