00DSEGEN, 2011-12-15, 4968.78309,5049.07277,4968.78309,5000.17834,46378878
00DSETO, 2011-12-15, 4968.78309,5049.07277,4968.78309,5000.17834,2166.487385
01_BANK_ALL, 2011-12-15, 23.89,24.18,23.54,23.80,88117403
02_IT, 2011-12-15, 50.55,50.95,49.42,49.90,1206438
03_FINANCE, 2011-12-15, 308.92,310.13,299.12,302.40,947424
04_INS_GEN, 2011-12-15, 236.92,238.70,229.20,233.74,1185630
05_MNC, 2011-12-15, 284.00,292.15,283.17,287.56,1392100
06_CEMENT, 2011-12-15, 61.36,62.02,60.21,60.81,4242610
07_POWER, 2011-12-15, 137.53,139.03,134.73,135.86,8292222
08_M_FUND, 2011-12-15, 22.44,22.52,21.95,22.08,5086360
09_BEXIMCO, 2011-12-15, 51.54,52.13,50.69,51.08,4562765
10_INS_LIFE, 2011-12-15, 127.16,128.85,124.52,126.66,1396751
11_TEXTILE, 2011-12-15, 215.71,218.30,211.40,213.93,1146824
12_ENGINEERING, 2011-12-15, 379.58,382.77,370.42,373.17,974637
13_FOOD, 2011-12-15, 23.78,24.20,23.24,23.73,2741450
14_PHARMA, 2011-12-15, 866.61,874.61,850.76,854.71,186695
15_CHEMICALS, 2011-12-15, 41.20,41.72,39.93,40.43,3522445
16_SERVICES, 2011-12-15, 34.03,34.23,32.73,33.14,3236826
17_TANNERY, 2011-12-15, 244.20,248.33,239.57,242.17,43250
18_CEREMICS, 2011-12-15, 214.47,220.10,211.95,214.67,1289544
19_CORPBOND, 2011-12-15, 945.17,948.67,944.17,946.75,5065
1JANATAMF, 2011-12-15, 7.40,7.90,7.30,7.80,1689000
1STPRIMFMF, 2011-12-15, 18.50,18.60,18.10,18.20,30000
20_MISC, 2011-12-15, 52.83,53.27,52.02,52.36,699290
6THICB, 2011-12-15, 46.20,46.20,46.20,46.20,600
8THICB, 2011-12-15, 49.20,52.10,49.20,50.10,1500
ABBANK, 2011-12-15, 69.00,69.80,67.20,67.70,203850
ACI, 2011-12-15, 204.00,208.00,204.00,205.10,6456
ACIFORMULA, 2011-12-15, 85.00,86.50,83.50,84.40,4000
ACIZCBOND, 2011-12-15, 830.00,835.00,827.00,830.50,320
ACTIVEFINE, 2011-12-15, 57.50,59.50,57.10,57.40,144950
AFTABAUTO, 2011-12-15, 137.70,139.30,134.00,134.40,294476
AGNISYSL, 2011-12-15, 36.80,36.80,35.30,35.80,344250
AGRANINS, 2011-12-15, 39.70,39.70,37.00,37.40,43500
AIBL1STIMF, 2011-12-15, 8.00,8.00,7.60,7.70,14500
AIMS1STMF, 2011-12-15, 41.10,41.10,39.80,40.00,182100
AL-HAJTEX, 2011-12-15, 45.00,45.40,44.60,44.80,18800
ALARABANK, 2011-12-15, 35.90,37.00,35.70,36.70,2734061
ALLTEX, 2011-12-15, 15.00,15.00,14.00,14.50,113500
AMBEEPHA, 2011-12-15, 323.00,323.00,313.00,313.70,5400
AMCL(PRAN), 2011-12-15, 125.90,126.00,125.20,125.60,620
ANLIMAYARN, 2011-12-15, 28.20,28.40,27.20,27.70,125500
ANWARGALV, 2011-12-15, 23.40,23.40,22.00,22.40,8500
APEXADELFT, 2011-12-15, 286.60,295.00,286.60,290.70,8800
APEXFOODS, 2011-12-15, 69.10,71.50,66.60,68.30,6950
APEXSPINN, 2011-12-15, 81.70,81.70,81.10,81.20,1000
APEXTANRY, 2011-12-15, 119.00,122.00,113.10,113.80,32550
ARAMIT, 2011-12-15, 246.00,247.00,246.00,246.00,1700
ARAMITCEM, 2011-12-15, 88.00,92.90,88.00,90.40,1400
ASIAINS, 2011-12-15, 55.00,55.00,53.00,53.30,90690
ASIAPACINS, 2011-12-15, 38.80,38.90,37.10,38.00,121000
ATLASBANG, 2011-12-15, 240.00,240.00,233.40,234.90,8443
AZIZPIPES, 2011-12-15, 27.00,27.00,26.50,26.90,8400
BANGAS, 2011-12-15, 135.00,135.00,125.50,133.20,12650
BANKASIA, 2011-12-15, 37.90,37.90,37.30,37.50,281835
BATASHOE, 2011-12-15, 596.00,604.00,595.10,597.60,1200
BATBC, 2011-12-15, 605.00,611.00,605.00,609.70,6800
BAYLEASING, 2011-12-15, 65.20,65.20,63.00,63.20,87850
BDAUTOCA, 2011-12-15, 42.30,46.00,42.20,45.10,81000
BDCOM, 2011-12-15, 28.50,28.70,26.90,27.70,173316
BDFINANCE, 2011-12-15, 61.90,62.00,59.10,60.50,51366
BDLAMPS, 2011-12-15, 145.00,147.50,142.20,143.90,2700
BDTHAI, 2011-12-15, 54.00,55.60,52.80,54.70,387780
BDWELDING, 2011-12-15, 43.90,44.00,42.60,42.90,166544
BEACHHATCH, 2011-12-15, 37.50,37.50,35.60,36.10,89950
BEACONPHAR, 2011-12-15, 26.00,26.50,25.60,25.70,532500
BEDL, 2011-12-15, 41.20,42.00,40.70,41.30,122120
BERGERPBL, 2011-12-15, 515.00,547.00,510.10,529.70,200
BEXIMCO, 2011-12-15, 116.90,117.40,113.90,114.60,453296
BGIC, 2011-12-15, 49.30,49.40,47.50,48.00,112436
BIFC, 2011-12-15, 43.10,43.10,40.70,41.00,50120
BOC, 2011-12-15, 610.20,620.00,608.50,610.60,1996
BRACBANK, 2011-12-15, 44.40,45.90,43.60,44.10,207240
BRACSCBOND, 2011-12-15, 1005.00,1005.00,1005.00,1005.00,5
BSC, 2011-12-15, 583.00,594.75,580.25,584.50,40325
BSRMSTEEL, 2011-12-15, 98.00,99.90,97.60,98.10,44500
BXPHARMA, 2011-12-15, 95.60,97.00,95.00,95.00,359982
BXSYNTH, 2011-12-15, 37.20,38.30,36.70,37.90,299880
CENTRALINS, 2011-12-15, 57.00,57.00,55.00,56.20,5400
CITYBANK, 2011-12-15, 53.00,54.10,52.50,53.00,877600
CITYGENINS, 2011-12-15, 39.00,39.00,37.20,38.30,98012
CMCKAMAL, 2011-12-15, 37.50,38.20,36.80,37.30,546164
CONFIDCEM, 2011-12-15, 113.50,114.90,111.20,112.70,69500
CONTININS, 2011-12-15, 39.90,39.90,38.00,38.80,115500
CTGVEG, 2011-12-15, 293.00,294.90,285.00,290.70,32200
DACCADYE, 2011-12-15, 39.50,40.90,39.10,39.90,111060
DAFODILCOM, 2011-12-15, 21.20,21.40,20.80,21.00,95060
DBH, 2011-12-15, 83.20,84.70,80.50,81.10,48060
DBH1STMF, 2011-12-15, 8.20,8.30,8.10,8.20,167500
DELTALIFE, 2011-12-15, 2620.00,2620.00,2542.00,2594.00,150
DELTASPINN, 2011-12-15, 32.00,32.00,30.80,30.90,164200
DESCO, 2011-12-15, 109.90,112.00,108.00,109.30,30500
DESHBANDHU, 2011-12-15, 34.50,34.80,33.00,33.60,185000
DHAKABANK, 2011-12-15, 43.70,43.70,42.60,42.80,359579
DHAKAINS, 2011-12-15, 84.00,84.40,83.20,83.70,17000
DSHGARME, 2011-12-15, 51.00,51.40,49.50,50.80,17300
DULAMIACOT, 2011-12-15, 15.70,15.90,15.40,15.80,13000
DUTCHBANGL, 2011-12-15, 134.00,134.50,131.20,132.90,101000
EASTERNINS, 2011-12-15, 50.90,50.90,48.90,50.00,34840
EASTLAND, 2011-12-15, 76.30,78.90,76.30,77.90,45600
EASTRNLUB, 2011-12-15, 286.90,287.00,274.10,279.30,800
EBL, 2011-12-15, 68.50,69.30,67.70,68.60,783960
EBL1STMF, 2011-12-15, 10.00,10.10,9.70,9.80,117500
EBLNRBMF, 2011-12-15, 8.20,8.20,8.20,8.20,500
ECABLES, 2011-12-15, 53.40,53.40,53.20,53.30,1600
EHL, 2011-12-15, 65.00,65.30,62.90,63.40,313280
EXIMBANK, 2011-12-15, 27.50,27.70,27.00,27.20,398283
FAREASTLIF, 2011-12-15, 149.40,151.90,147.80,148.40,24495
FASFIN, 2011-12-15, 42.80,42.80,40.90,41.30,37580
FEDERALINS, 2011-12-15, 39.00,39.70,38.10,38.50,129700
FINEFOODS, 2011-12-15, 45.20,45.70,44.00,45.10,59500
FIRSTSBANK, 2011-12-15, 25.50,25.70,24.80,25.30,549712
FLEASEINT, 2011-12-15, 69.00,71.00,68.50,69.10,83920
FUWANGCER, 2011-12-15, 42.00,42.30,40.90,41.20,1142000
FUWANGFOOD, 2011-12-15, 48.20,49.50,47.90,48.60,1066800
GEMINISEA, 2011-12-15, 231.50,254.90,230.10,254.50,4450
GLAXOSMITH, 2011-12-15, 600.00,625.00,600.00,612.50,200
GLOBALINS, 2011-12-15, 42.00,42.50,41.00,41.40,67150
GOLDENSON, 2011-12-15, 55.90,56.30,54.80,55.10,183086
GP, 2011-12-15, 157.40,159.30,156.20,156.70,226600
