&nbsp;&nbsp;&nbsp;&nbsp; Trading Code &nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; LTP* &nbsp;&nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; High &nbsp;&nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; Low &nbsp;&nbsp;&nbsp;&nbsp;,&nbsp;&nbsp; Volume &nbsp;&nbsp;
DACCADYE,48.1,48.5,48,25000
DAFODILCOM,20.1,20.4,20.1,9000
DBH,84,84.7,83,12000
DBH1STMF,0,0,0,0
DELTALIFE,0,0,0,0
DELTASPINN,31.4,32,31.4,8600
DESCO,90.1,90.9,89.1,33500
DESHBANDHU,37.3,38.3,37.1,46000
DHAKABANK,34.9,35.1,34.9,26500
DHAKAINS,90.5,90.5,89.3,2500
DSHGARME,52.9,52.9,52.5,1200
DULAMIACOT,0,0,0,0
DUTCHBANGL,0,0,0,0
EASTERNINS,56.5,56.5,56.5,200
EASTLAND,92.3,93,92.3,7200
EASTRNLUB,0,0,0,0
EBL,41.2,41.2,41,16000
EBL1STMF,0,0,0,0
EBLNRBMF,0,0,0,0
ECABLES,0,0,0,0
EHL,66.3,67.2,66.3,47000
EXIMBANK,23.2,23.2,23.1,1900
FAREASTLIF,161,162.9,160,2200
FASFIN,52,52.4,52,9000
FBFIF,0,0,0,0
FEDERALINS,36.8,37.7,36.8,11900
FINEFOODS,0,0,0,0
FIRSTSBANK,22,22.2,22,7600
FLEASEINT,56.4,57,56,20000
FUWANGCER,38.8,39.7,38.8,64500
FUWANGFOOD,43,43.6,42.8,26000
GEMINISEA,0,0,0,0
GLAXOSMITH,0,0,0,0
GLOBALINS,40.3,40.3,40.3,1000
GOLDENSON,62.7,62.9,62.7,25000
GP,183,185.8,183,154400
GQBALLPEN,185,188.2,185,3600
GRAMEEN1,45.1,45.1,45,8000
GRAMEENS2,15.8,15.8,15.8,2000
GREENDELMF,6.1,6.1,6.1,2500
GREENDELT,137,137,137,1100
HAKKANIPUL,0,0,0,0
HEIDELBCEM,0,0,0,0
HRTEX,0,0,0,0
IBBLPBOND,0,0,0,0
IBNSINA,0,0,0,0
ICB,0,0,0,0
ICB1STNRB,0,0,0,0
ICB2NDNRB,0,0,0,0
ICB3RDNRB,0,0,0,0
ICBAMCL1ST,0,0,0,0
ICBAMCL2ND,0,0,0,0
ICBEPMF1S1,7.5,7.5,7.5,1000
ICBIBANK,7.7,7.9,7.7,76000
ICBISLAMIC,0,0,0,0
IDLC,103,105.8,103,19200
IFIC,55.7,55.7,55.7,100
IFIC1STMF,7.7,7.7,7.7,5000
IFILISLMF1,0,0,0,0
ILFSL,33.8,33.9,33.8,21000
IMAMBUTTON,0,0,0,0
INTECH,0,0,0,0
IPDC,0,0,0,0
ISLAMIBANK,55.5,55.6,55.5,76200
ISLAMICFIN,33.8,34,33.4,52000
ISLAMIINS,40,41,39.1,3500
ISNLTD,0,0,0,0
JAMUNABANK,31.2,31.2,31.2,500
JAMUNAOIL,214,216,214,22000
JANATAINS,0,0,0,0
JUTESPINN,0,0,0,0
KARNAPHULI,54.5,55,54.4,9400
KAY&QUE,0,0,0,0
KEYACOSMET,61.1,62,61.1,200000
KOHINOOR,0,0,0,0
KPCL,67.6,68.2,67.3,118900
LAFSURCEML,28.2,28.7,28.2,150000
LANKABAFIN,77,77.9,76.7,38000
LEGACYFOOT,32.5,32.5,32.5,3000
LIBRAINFU,0,0,0,0
LINDEBD,0,0,0,0
LRGLOBMF1,0,0,0,0
MAKSONSPIN,22.9,23.2,22.9,123000
MALEKSPIN,25,25.4,25,66000
MARICO,0,0,0,0
MBL1STMF,0,0,0,0
MEGCONMILK,0,0,0,0
MEGHNACEM,141.2,141.2,141,1100
MEGHNALIFE,166.6,167,166.5,11350
MEGHNAPET,0,0,0,0
MERCANBANK,23.8,23.9,23.6,19000
MERCINS,41.5,41.9,41,15000
METROSPIN,24.9,25.2,24.9,23000
MICEMENT,105.3,108,105.3,58400
MIDASFIN,0,0,0,0
MIRACLEIND,0,0,0,0
MITHUNKNIT,108,108,108,400
MJLBD,106.5,108.5,106,32600
MODERNDYE,0,0,0,0
MONNOCERA,51.2,51.6,51.2,3300
MONNOSTAF,0,0,0,0
MPETROLEUM,156,156.8,155.3,9700
MTBL,27.5,27.5,27.3,16000
NATLIFEINS,366.1,366.1,366.1,100
NAVANACNG,76.6,76.9,76,8600
NBL,37.9,38,37.8,69600
NCCBANK,23.3,23.4,23.1,45500
NHFIL,92.3,92.5,91.5,18000
NITOLINS,0,0,0,0
NLI1STMF,0,0,0,0
NORTHERN,0,0,0,0
NORTHRNINS,0,0,0,0
NPOLYMAR,0,0,0,0
NTC,0,0,0,0
NTLTUBES,48.5,48.5,48,4000
OCL,71.9,72,71.9,5200
OLYMPIC,123.5,124.1,122.6,27000
ONEBANKLTD,33.3,33.5,33,54500
ORIONINFU,48.5,49.5,48.3,13400
PADMAOIL,0,0,0,0
PARAMOUNT,36.2,36.9,36.2,7000
PEOPLESINS,39.3,39.3,38.9,19000
PF1STMF,6.3,6.4,6.3,38500
PHARMAID,210.6,210.6,209,200
PHENIXINS,75.5,77,75.5,4400
PHOENIXFIN,79.1,80.2,79,47500
PHPMF1,5.8,5.8,5.8,1000
PIONEERINS,88,88,88,9500
PLFSL,62.6,63.8,62.6,89300
POPULAR1MF,6.4,6.4,6.3,24000
POPULARLIF,0,0,0,0
POWERGRID,66,67,66,17500
PRAGATIINS,0,0,0,0
PRAGATILIF,0,0,0,0
PREMIERBAN,28.1,28.3,28,43250
PREMIERLEA,31.7,31.7,31.4,136000
PRIME1ICBA,0,0,0,0
PRIMEBANK,39.5,39.6,38.2,148250
PRIMEFIN,69,69,68.4,23150
PRIMEINSUR,0,0,0,0
PRIMELIFE,185,185,185,100
PRIMETEX,29.1,30.6,29.1,27000
PROGRESLIF,0,0,0,0
PROVATIINS,44.8,44.9,44.7,7000
PUBALIBANK,33.3,33.4,33.2,26275
PURABIGEN,103,103,98.8,16500
QSMDRYCELL,52.1,53,52.1,7000
RAHIMAFOOD,28.5,28.9,27.6,4000
RAHIMTEXT,0,0,0,0
RAKCERAMIC,78.9,79.9,77.1,12200
RANFOUNDRY,0,0,0,0
RDFOOD,38.1,39,38.1,17200
RECKITTBEN,0,0,0,0
RELIANCE1,0,0,0,0
RELIANCINS,0,0,0,0
RENATA,0,0,0,0
RENWICKJA,0,0,0,0
REPUBLIC,53.8,53.8,51,2000
RNSPIN,37.3,37.8,36.9,149000
RUPALIBANK,0,0,0,0
RUPALIINS,49.3,49.9,47.2,15000
RUPALILIFE,190,190,186,9000
SAFKOSPINN,35.8,36.3,35.7,22500
SAIHAMTEX,31.9,32.2,31.7,18800
SALAMCRST,56.1,57.9,56.1,29500
SALVOCHEM,30.2,30.2,29,15500
SAMATALETH,0,0,0,0
SAMORITA,0,0,0,0
SANDHANINS,154.2,155,153.9,1700
SAPORTL,53.6,55.1,53.6,13800
SAVAREFR,0,0,0,0
SEBL1STMF,9.2,9.2,9.2,10000
SHAHJABANK,30.2,30.2,29.8,9950
SHYAMPSUG,0,0,0,0
SIBL,22.7,22.7,22.6,77500
SINGERBD,204,204.9,201.1,5500
SINOBANGLA,39,39,39,5500
SONALIANSH,136.7,138,136.7,1150
SONARBAINS,40.9,41.2,40.9,1500
SONARGAON,32.3,32.8,32.3,13000
SOUTHEASTB,23.6,23.8,23.6,25000
SPCERAMICS,43.7,44.4,43.7,51100
SQUARETEXT,128,128.5,125.6,20900
SQURPHARMA,230,231.8,230,47890
STANCERAM,0,0,0,0
STANDARINS,0,0,0,0
STANDBANKL,26.2,26.4,26.2,24000
STYLECRAFT,0,0,0,0
SUMITPOWER,69.2,70.5,69.2,148500
TAKAFULINS,0,0,0,0
TALLUSPIN,72.7,73.5,72.1,19800
TITASGAS,73.8,74.1,73.7,343000
TRUSTB1MF,8,8,8,15000
TRUSTBANK,35.2,35.6,35.2,14000
UCBL,36.7,36.8,36.5,95450
ULC,46.1,46.5,45,17800
UNIONCAP,47.7,48.5,47.7,28500
UNITEDAIR,21.5,21.7,21.5,510800
UNITEDINS,56,56,56,100
USMANIAGL,0,0,0,0
UTTARABANK,60.6,60.9,59.4,53625
UTTARAFIN,128.5,129.6,125,11700
ZAHINTEX,43,43.4,43,49000
ZEALBANGLA,0,0,0,0
00DSEGEN,4898.28956,4898.28956,4898.28956,6369315
00DSETO,4898.28956,4898.28956,4898.28956,359.076
