&nbsp;&nbsp;&nbsp;&nbsp; Trading Code &nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; LTP* &nbsp;&nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; High &nbsp;&nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; Low &nbsp;&nbsp;&nbsp;&nbsp;,&nbsp;&nbsp; Volume &nbsp;&nbsp;
1JANATAMF,7.1,7.1,7.1,500
1STBSRS,0,0,0,0
1STICB,0,0,0,0
1STPRIMFMF,0,0,0,0
2NDICB,0,0,0,0
3RDICB,0,0,0,0
4THICB,0,0,0,0
5THICB,0,0,0,0
6THICB,0,0,0,0
7THICB,0,0,0,0
8THICB,55,55,55,1000
ABB1STMF,0,0,0,0
ABBANK,42.9,42.9,42,11100
ACI,0,0,0,0
ACIFORMULA,91.3,93.4,91.3,300
ACIZCBOND,0,0,0,0
ACTIVEFINE,64.8,66,64.8,244000
AFTABAUTO,126.6,129,126,41350
AGNISYSL,32.7,33,32.7,69000
AGRANINS,0,0,0,0
AIBL1STIMF,0,0,0,0
AIMS1STMF,36.8,37,36.8,2000
AL-HAJTEX,35,35,35,800
ALARABANK,32.5,33,32.5,23750
ALLTEX,11.2,11.2,11.2,500
AMBEEPHA,325,325.5,325,1050
AMCL(PRAN),0,0,0,0
ANLIMAYARN,26.9,27.3,26.9,1500
ANWARGALV,0,0,0,0
APEXADELFT,233,234.9,219,24200
APEXFOODS,0,0,0,0
APEXSPINN,101.5,101.5,101.5,200
APEXTANRY,113.2,116,113.2,2600
ARAMIT,0,0,0,0
ARAMITCEM,0,0,0,0
ASIAINS,55,55.4,55,30250
ASIAPACINS,38.7,39,38.7,27000
ATLASBANG,190.2,194,190.2,400
AZIZPIPES,0,0,0,0
BANGAS,126.9,126.9,126.7,1600
BANKASIA,27.4,27.4,27.4,1000
BATASHOE,0,0,0,0
BATBC,0,0,0,0
BAYLEASING,63,63.9,62.6,51000
BDAUTOCA,0,0,0,0
BDCOM,0,0,0,0
BDFINANCE,51.9,52.8,51.9,5000
BDLAMPS,0,0,0,0
BDSERVICE,0,0,0,0
BDTHAI,57.7,59.9,57.7,43200
BDWELDING,39,40,38.9,16000
BEACHHATCH,38.9,39.2,38.9,41500
BEACONPHAR,26.9,27.9,26.8,360500
BEDL,46.6,47.3,46.5,71800
BERGERPBL,0,0,0,0
BEXIMCO,116.6,117.8,116.6,175200
BGIC,45.7,46.7,45.7,1200
BIFC,39,39,39,2000
BRACBANK,34.7,34.7,34.6,3000
BRACSCBOND,0,0,0,0
BSC,390,394,390,905
BSRMSTEEL,98.4,100,98.4,27500
BXPHARMA,87.2,87.6,87,73050
BXSYNTH,40.9,41.4,40.6,64600
CENTRALINS,58.9,58.9,58.9,1000
CITYBANK,42.4,43.1,42.4,36000
CITYGENINS,39.3,39.8,39.1,36800
CMCKAMAL,38.8,39,38,208100
CONFIDCEM,126.5,130,126.5,45460
CONTININS,42.4,43,42.2,3500
CVOPRL,0,0,0,0
