HRTEX,500.25,493,493.75,500.25,8700
IBBLPBOND,959,969,959.5,950,2250
IBNSINA,1344.75,1325,1330,1323.5,5860
ICB,3600,3790,3749.5,3620.75,5850
ICB1STNRB,400,416.5,413.75,401,3600
ICB2NDNRB,189,193.75,193.5,189.75,61350
ICB3RDNRB,9.6,9.8,9.7,9.6,445000
ICBAMCL1ST,656.75,645,640.25,642,3150
ICBAMCL2ND,134,134.5,133.5,134.5,48150
ICBEPMF1S1,13.1,12.7,12.7,13,1329000
ICBIBANK,11.5,11.2,11.2,11.4,495000
ICBISLAMIC,340,343.75,343,342.25,5250
IDLC,2046.5,2058,2049,2051.75,23560
IFIC,782,805,799.5,781,46700
IFIC1STMF,11.2,11.5,11.3,11.1,1040500
IFILISLMF1,7.7,7.8,7.7,7.7,176500
ILFSL,1207.5,1250,1236.5,1227.25,20600
IMAMBUTTON,374,374,373.5,377,2600
INTECH,26.6,26.3,26.3,26.2,120000
IPDC,388.25,390,391,389.25,11450
ISLAMIBANK,495,513,512.5,495.5,358420
ISLAMICFIN,458,459,456,455.25,24000
ISLAMIINS,549.25,538,538.25,543,12250
ISNLTD,32.1,32.2,32.1,32.2,114000
JAMUNABANK,35.3,35.1,35,35,2110500
JAMUNAOIL,258,259,258.6,255.6,352300
JANATAINS,647,639,631,629.75,2980
JUTESPINN,1495,1490,1493,1492,390
KARNAPHULI,63.5,63.6,62.8,62.1,743800
KAY&QUE,366.5,376,369,366.25,4600
KEYACOSMET,87.6,87.5,87,86.4,685500
KOHINOOR,2160,2160,2160,2180,50
KPCL,68.5,69.8,69.5,67.8,679900
LAFSURCEML,475,0,489,489,0
LANKABAFIN,210.5,209.5,209.9,211.1,749500
LEGACYFOOT,40.1,40.2,39.7,39.9,40000
LIBRAINFU,4090,4100,4095,4077,40
MAKSONSPIN,44,44.5,44.2,44.1,1468000
MALEKSPIN,57,57.4,57.1,56.7,1803000
MARICO,505,524,520.2,506,37700
MBL1STMF,7.9,9.2,8.7,8.4,3500
MEGCONMILK,41.6,42.3,41.8,42,189000
MEGHNACEM,222,231.8,228.3,221,263800
MEGHNALIFE,364,360,357.7,358.7,227150
MEGHNAPET,18.1,18.9,18.7,18.6,16500
MERCANBANK,318.5,323,321,318.75,429500
MERCINS,528,536.5,532,531.75,41800
METROSPIN,59.3,59.7,59.3,58.9,446500
MICEMENT,175.5,177.7,176.8,175.2,1434800
MIDASFIN,1071,1071.5,1083,1072.5,9050
MIRACLEIND,30.1,30.3,30,30.5,134000
MITHUNKNIT,1475,1498,1486,1485.75,1460
MJLBD,161.9,160.4,158.8,159.6,2038600
MODERNDYE,466,466,466,465,25
MONNOCERA,723.25,729.5,723.75,730,3080
MONNOJTX,2245,2226,2230,2270.5,70
MONNOSTAF,2531,2430,2491,2421.25,40
MPETROLEUM,184.2,191,188.6,185.2,93500
MTBL,379,381,376.75,376.5,48600
NATLIFEINS,7480,7299,7252,7423.5,3755
NAVANACNG,163.9,168.6,168.1,161.4,716100
NBL,64.5,65.6,65.2,64.2,3604400
NCCBANK,34,34,33.9,33.9,1540500
NHFIL,1065,1067,1066.25,1072,13500
NITOLINS,653,663.5,661,657.75,3300
NORTHERN,41.1,0,40.4,40.4,0
NORTHRNINS,660,668,668.25,658.5,31450
NPOLYMAR,740.25,740,737.25,744,3230
NTC,4990,4988,4949.5,4890.25,730
NTLTUBES,944.75,939,936.75,939.75,1380
OCL,78.4,80.2,79.7,78.2,36200
OLYMPIC,1860,1910,1902,1864.25,16350
ONEBANKLTD,487.5,507,505,487.5,328450
ORIONINFU,659,659.5,660.75,654.75,22520
PADMAOIL,729,0,733.2,733.2,0
PARAMOUNT,524,534.75,529.25,529.75,7700
PEOPLESINS,48,48.3,48.4,48,252100
PF1STMF,12.2,12.1,12.2,11.9,1064500
PHARMAID,2560,2564,2552.25,2561.75,1830
PHENIXINS,88,87.5,87.7,87.7,151800
PHOENIXFIN,945,955,949,949.5,54000
PHPMF1,7.7,7.9,7.8,7.7,456000
PIONEERINS,1007,1007.5,1004.25,1002.5,1850
PLFSL,119.9,119.3,118.6,118.8,1079200
