IBBLPBOND,0,0,0,0,959.5,0
IBNSINA,1364.75,1364.75,1364.75,0,1330,200
ICB,0,0,0,0,3749.5,0
ICB1STNRB,0,0,0,0,413.75,0
ICB2NDNRB,197,197,192,0,193.5,7300
ICB3RDNRB,9.9,9.9,9.7,0,9.7,33000
ICBAMCL1ST,655,655,655,0,640.25,300
ICBAMCL2ND,133.75,133.75,133.75,0,133.5,50
ICBEPMF1S1,13,13.1,12.9,0,12.7,75500
ICBIBANK,11.3,11.5,11.2,0,11.2,87000
ICBISLAMIC,352,352,345,0,343,1800
IDLC,2068,2078,2051,0,2049,440
IFIC,817.5,839,809,0,799.5,34780
IFIC1STMF,11.7,11.8,11.5,0,11.3,483500
IFILISLMF1,7.9,7.9,7.8,0,7.7,23000
ILFSL,1274,1275,1242,0,1236.5,7400
IMAMBUTTON,0,0,0,0,373.5,0
INTECH,26.5,26.5,26.3,0,26.3,3000
IPDC,390,390,390,0,391,50
ISLAMIBANK,517,523,513,0,512.5,44390
ISLAMICFIN,459.5,462,458.5,0,456,2800
ISLAMIINS,535.25,535.25,535.25,0,538.25,100
ISNLTD,32.1,32.8,32.1,0,32.1,1000
JAMUNABANK,35.3,35.5,34.7,0,35,315250
JAMUNAOIL,261.7,262,258.2,0,258.6,25400
JANATAINS,0,0,0,0,631,0
JUTESPINN,0,0,0,0,1493,0
KARNAPHULI,63,63.3,62.5,0,62.8,28600
KAY&QUE,374.75,374.75,374.75,0,369,50
KEYACOSMET,89.2,89.4,87.1,0,87,287500
KOHINOOR,0,0,0,0,2160,0
KPCL,70.9,72,69.1,0,69.5,131900
LAFSURCEML,0,0,0,0,489,0
LANKABAFIN,211.4,215,210.6,0,209.9,81500
LEGACYFOOT,0,0,0,0,39.7,0
LIBRAINFU,0,0,0,0,4095,0
MAKSONSPIN,45,45.1,44.2,0,44.2,383000
MALEKSPIN,58.7,59,57.2,0,57.1,685500
MARICO,524,524,524,0,520.2,50
MBL1STMF,0,0,0,0,8.7,0
MEGCONMILK,42,42,40.9,0,41.8,1500
MEGHNACEM,234,234.5,229.2,0,228.3,51500
MEGHNALIFE,357.7,363.8,357.6,0,357.7,25500
MEGHNAPET,0,0,0,0,18.7,0
MERCANBANK,322.5,325,318.75,0,321,55900
MERCINS,537,539,532,0,532,2150
METROSPIN,62,62,59.5,0,59.3,147500
MICEMENT,179.6,180,177.6,0,176.8,252900
MIDASFIN,1102,1118,1100,0,1083,1650
MIRACLEIND,30.5,30.6,29.7,0,30,19000
MITHUNKNIT,1500,1500,1470,0,1486,300
MJLBD,166.3,167,160,0,158.8,298400
MODERNDYE,0,0,0,0,466,0
MONNOCERA,0,0,0,0,723.75,0
MONNOJTX,0,0,0,0,2230,0
MONNOSTAF,0,0,0,0,2491,0
MPETROLEUM,191,193.3,188.3,0,188.6,1200
MTBL,369,380,369,0,376.75,20600
NATLIFEINS,7275,7334,7250,0,7252,130
NAVANACNG,169,170,168,0,168.1,69500
NBL,66.5,67.3,65.7,0,65.2,924700
NCCBANK,34.4,34.9,33.8,0,33.9,205250
